dex	species	form	gender	palette	idle_atlas	walk_atlas	runtime_strip	id	columns_idle	duration_idle	columns_walk	duration_walk	cell_width	cell_height	left	top	right	bottom	anchor_x	anchor_y	reference_height	runtime_content_width	runtime_content_height	idle_sha256	walk_sha256	runtime_sha256	source_receipt	status
6	charizard	base	none	normal	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-006__form-00__gender-none__palette-normal__idle-8x4.png	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-006__form-00__gender-none__palette-normal__walk-8x4.png	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-006__form-00__gender-none__palette-normal__runtime.png	rc31-original-trs-body-v2:pm0006_00:00:none:normal	8	1.6000001430511475	8	0.8000000715255737	384	256	12	14	372	242	192	236.4313163781015	117.47940954204448	15	16	2655878e2e53ff544b6b1dcd00a110c5b52b5c01e1260dab3b8fe7fb7e07c9d0	94f9c8732c7992c4dc8d87bb21116be5fd6d714a5f6a5f4ff7a6ae67ce24e902	f3d587c67c0359aa426e9380133a38d0417d0b7532fda2aac57bb278f66b8abe	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-006__form-00__gender-none__palette-normal__body-v2-admission.json	verified-render
6	charizard	base	none	shiny	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-006__form-00__gender-none__palette-shiny__idle-8x4.png	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-006__form-00__gender-none__palette-shiny__walk-8x4.png	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-006__form-00__gender-none__palette-shiny__runtime.png	rc31-original-trs-body-v2:pm0006_00:00:none:shiny	8	1.6000001430511475	8	0.8000000715255737	384	256	12	14	372	242	192	236.4313163781015	117.47940954204448	15	16	4df6c649d35329ba5a13b81b381b21dbfaf24e5df4916db74d05164363544a5d	075c3ec8c5c75eae5c3fb8f543d79ec3a144b78401b81ee530ed0311ac188bf8	b9f0bd84cd7c8973807e392992287204cdd7e7243d2f2e134320b40f97c4b700	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-006__form-00__gender-none__palette-shiny__body-v2-admission.json	verified-render
25	pikachu	base	female	normal	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-025__form-00__gender-female__palette-normal__idle-8x4.png	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-025__form-00__gender-female__palette-normal__walk-8x4.png	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-025__form-00__gender-female__palette-normal__runtime.png	rc31-original-trs-v1:pm0025_00:00:female:normal	8	1.133333444595337	8	1	256	256	17	47	239	210	128	203.0879120462723	150	14	16	90a00a6114d0ec15b3b4c6cbaa9aafffa116f7c3ee7b1f09edc081938c69ad9f	656bc1cb8c14f75ed0689c9d5b85fd1ae23178a3854b34078b2e4a3e62bced1b	19399ba6ece2b9564ec2b88d9e2098c3287a2125c30d964248799055d2046610	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-025__form-00__gender-female__palette-normal__admission.json	verified-render
25	pikachu	base	female	shiny	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-025__form-00__gender-female__palette-shiny__idle-8x4.png	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-025__form-00__gender-female__palette-shiny__walk-8x4.png	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-025__form-00__gender-female__palette-shiny__runtime.png	rc31-original-trs-v1:pm0025_00:00:female:shiny	8	1.133333444595337	8	1	256	256	17	47	239	210	128	203.0879120462723	150	14	16	c343ae3923fc3c19cf7950ea6baeb01031c5c5d2cab8993c51bad225c7d9b567	e4d144d99c25a757669660c28b61dbac5811de3b12f9d91cba3e2aed05ea9495	c25899958a52673cd587d31993e275f7a8fa228a52ed71524dddff0939bf05e9	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-025__form-00__gender-female__palette-shiny__admission.json	verified-render
25	pikachu	base	male	normal	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-025__form-00__gender-male__palette-normal__idle-8x4.png	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-025__form-00__gender-male__palette-normal__walk-8x4.png	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-025__form-00__gender-male__palette-normal__runtime.png	rc31-original-trs-v1:pm0025_00:00:male:normal	8	1.133333444595337	8	1	256	256	17	47	239	210	128	203.0879120462723	150	14	16	d33446d86e1fed0798b9f546d00b8e3ad5f546e5263b86dd0bafa73cec60f7a4	7d4381c6529c3667fc2e0a466b7d6086232da31620136010321a8f7fc77009d6	b126e3ed00415ec940e9151bdfdeb47c83759282a9f92ffcf1fd70fcc42b5718	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-025__form-00__gender-male__palette-normal__admission.json	verified-render
25	pikachu	base	male	shiny	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-025__form-00__gender-male__palette-shiny__idle-8x4.png	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-025__form-00__gender-male__palette-shiny__walk-8x4.png	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-025__form-00__gender-male__palette-shiny__runtime.png	rc31-original-trs-v1:pm0025_00:00:male:shiny	8	1.133333444595337	8	1	256	256	17	47	239	210	128	203.0879120462723	150	14	16	8f5775f914c54392f83916b18fc91ef0919ba7a56f46644db7a34caddc75284c	802add204eaf7c49d3564ce00dbe7b124a5d5b2b1b24db510401a2f5f7a02dcb	7c9a871c0786f9b0127bf22a72b9f1f8145217af25fe8706aa8a88a6fcd2ae6c	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-025__form-00__gender-male__palette-shiny__admission.json	verified-render
65	alakazam	base	none	normal	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-065__form-00__gender-none__palette-normal__idle-8x4.png	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-065__form-00__gender-none__palette-normal__walk-8x4.png	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-065__form-00__gender-none__palette-normal__runtime.png	rc31-original-trs-v1:pm0065_00:00:none:normal	8	2.500000238418579	8	2.3333334922790527	256	256	28	24	228	233	128	223.74316727210055	162	15	16	51fd96734bdf8fa835b8f69efc250d4a3f19d636b42ba21e38e4a83fd937d438	c06c131693479c0f65b8cdf77dbc69465d3dc5cd8c15cfac9902c8ee0b4e70bc	539f4fb3b81e6e3a7c6f184cd287d193f59822bebf1b3a6d638735fc9083c858	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-065__form-00__gender-none__palette-normal__admission.json	verified-render
65	alakazam	base	none	shiny	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-065__form-00__gender-none__palette-shiny__idle-8x4.png	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-065__form-00__gender-none__palette-shiny__walk-8x4.png	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-065__form-00__gender-none__palette-shiny__runtime.png	rc31-original-trs-v1:pm0065_00:00:none:shiny	8	2.500000238418579	8	2.3333334922790527	256	256	28	24	228	233	128	223.74316727210055	162	15	16	895b986750ef2c1aeb31cc56c33a9343725236bb27848ff4631e8dc43f0d1af8	3d5e8dc6d53c923de02929d6a5113539206cd92a0bec9a4f6fc89ab5ab8b2ff5	8d67a624fd8fadd1838c145c7d4a7ec2f16cbfafbc747578b4333a831b999e5f	assets/pokemon-animation-cards/kanto-source-trs-v1/dex-065__form-00__gender-none__palette-shiny__admission.json	verified-render
1	bulbasaur	base	none	normal	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-001__form-00__gender-none__palette-normal__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-001__form-00__gender-none__palette-normal__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-001__form-00__gender-none__palette-normal__runtime.png	rc31-original-trs-v1:pm0001_00:00:none:normal	8	1.4000000953674316	8	1	256	256	17	45	239	213	128	203.57475027096584	167	15	16	8ed40d5a56ace8cd792c4003f2d8326ce955bc81e69f8464a6415251f9100ecc	bc14d798f82b2efed6ebfb6b2bbf1ab2a77570c3e46aff386945c34230eea2da	12f333037d2c0abfe897d89f86ac13ed8a7a9449d462a3731786decef34243ae	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-001__form-00__gender-none__palette-normal__admission.json	verified-render
1	bulbasaur	base	none	shiny	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-001__form-00__gender-none__palette-shiny__idle-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-001__form-00__gender-none__palette-shiny__walk-8x4.png	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-001__form-00__gender-none__palette-shiny__runtime.png	rc31-original-trs-v1:pm0001_00:00:none:shiny	8	1.4000000953674316	8	1	256	256	17	45	239	213	128	203.57475027096584	167	15	16	aa418b1354d43886f513b3b7f2ce2f223a2381c5225f105b13c523253d22c3be	7c236135a08012b5d65cef8b9e3254df0661a6e1b534d4e494157dd7dfaafafd	84c58831adbdc9f9c79d14d236ac9eedce12d43160e750fa3172c4f8b5794fc4	assets/pokemon-animation-cards/rc31-kanto-001-025-static-v1/dex-001__form-00__gender-none__palette-shiny__admission.json	verified-render
